,gene,chromosome
11725,OR3A2,['Unplaced']
11726,OR3A3,['Chromosome 17']
11727,OR3A4P,['Unplaced']
11728,OR4A15,['Chromosome 11']
11729,OR4A16,['Chromosome 11']
11730,OR4A47,['Chromosome 11']
11731,OR4A5,['Chromosome 11']
11732,OR4B1,['Chromosome 11']
11733,OR4C11,['Chromosome 11']
11734,OR4C12,['Chromosome 11']
11735,OR4C13,['Chromosome 11']
11736,OR4C15,['Chromosome 11']
11737,OR4C16,['Chromosome 11']
11738,OR4C3,['Chromosome 11']
11739,OR4C45,['Unplaced']
11740,OR4C46,['Chromosome 11']
11741,OR4C5,['Chromosome 11']
11742,OR4C6,['Chromosome 11']
11743,OR4D1,['Chromosome 17']
11744,OR4D10,['Chromosome 11']
11745,OR4D11,['Chromosome 11']
11746,OR4D2,['Chromosome 17']
11747,OR4D5,['Chromosome 11']
11748,OR4D6,['Chromosome 11']
11749,OR4D9,['Chromosome 11']
11750,OR4E1,['Chromosome 14']
11751,OR4E2,['Chromosome 14']
11752,OR4F15,['Chromosome 15']
11753,OR4F16,"['Chromosome 1', 'Chromosome 5']"
11754,OR4F17,['Unplaced']
11755,OR4F21,['Chromosome 8']
11756,OR4F29,"['Chromosome 1', 'Chromosome 5']"
11757,OR4F3,"['Chromosome 1', 'Chromosome 5']"
11758,OR4F4,['Chromosome 15']
11759,OR4F5,['Chromosome 1']
11760,OR4F6,['Chromosome 15']
11761,OR4K1,['Chromosome 14']
11762,OR4K13,['Chromosome 14']
11763,OR4K14,['Chromosome 14']
11764,OR4K15,['Chromosome 14']
11765,OR4K17,['Chromosome 14']
11766,OR4K2,['Chromosome 14']
11767,OR4K3,['Unplaced']
11768,OR4K5,['Chromosome 14']
11769,OR4L1,['Chromosome 14']
11770,OR4M1,['Chromosome 14']
11771,OR4M2,['Chromosome 15']
11772,OR4N2,['Unplaced']
11773,OR4N4,['Chromosome 15']
11774,OR4N5,['Chromosome 14']
11775,OR4P4,['Chromosome 11']
11776,OR4Q2,['Chromosome 14']
11777,OR4Q3,['Unplaced']
11778,OR4S1,['Chromosome 11']
11779,OR4S2,['Chromosome 11']
11780,OR4X1,['Chromosome 11']
11781,OR4X2,['Chromosome 11']
11782,OR51A2,['Chromosome 11']
11783,OR51A4,['Chromosome 11']
11784,OR51A7,['Chromosome 11']
11785,OR51B2,['Chromosome 11']
11786,OR51B4,['Chromosome 11']
11787,OR51B5,['Chromosome 11']
11788,OR51B6,['Chromosome 11']
11789,OR51D1,['Chromosome 11']
11790,OR51E1,['Chromosome 11']
11791,OR51E2,['Chromosome 11']
11792,OR51F1,['Chromosome 11']
11793,OR51F2,['Chromosome 11']
11794,OR51G1,['Chromosome 11']
11795,OR51G2,['Chromosome 11']
11796,OR51H1,['Unplaced']
11797,OR51I1,['Chromosome 11']
11798,OR51I2,['Chromosome 11']
11799,OR51J1,['Unplaced']
11800,OR51L1,['Chromosome 11']
11801,OR51M1,['Chromosome 11']
11802,OR51Q1,['Chromosome 11']
11803,OR51S1,['Chromosome 11']
11804,OR51T1,['Chromosome 11']
11805,OR51V1,['Chromosome 11']
11806,OR52A1,['Chromosome 11']
11807,OR52A5,['Chromosome 11']
11808,OR52B2,['Chromosome 11']
11809,OR52B4,['Chromosome 11']
11810,OR52B6,['Chromosome 11']
11811,OR52D1,['Chromosome 11']
11812,OR52E1,['Unplaced']
11813,OR52E2,['Chromosome 11']
11814,OR52E4,['Chromosome 11']
11815,OR52E5,['Chromosome 11']
11816,OR52E6,['Chromosome 11']
11817,OR52E8,['Chromosome 11']
11818,OR52H1,['Chromosome 11']
11819,OR52I1,['Chromosome 11']
11820,OR52I2,['Chromosome 11']
11821,OR52J3,['Chromosome 11']
11822,OR52K1,['Chromosome 11']
11823,OR52K2,['Chromosome 11']
11824,OR52L1,['Chromosome 11']
11825,OR52M1,['Chromosome 11']
11826,OR52N1,['Chromosome 11']
11827,OR52N2,['Chromosome 11']
11828,OR52N4,['Chromosome 11']
11829,OR52N5,['Chromosome 11']
11830,OR52R1,['Chromosome 11']
11831,OR52W1,['Chromosome 11']
11832,OR52Z1,['Unplaced']
11833,OR56A1,['Chromosome 11']
11834,OR56A3,['Chromosome 11']
11835,OR56A4,['Chromosome 11']
11836,OR56A5,['Chromosome 11']
11837,OR56B1,['Chromosome 11']
11838,OR56B4,['Chromosome 11']
11839,OR5A1,['Chromosome 11']
11840,OR5A2,['Chromosome 11']
11841,OR5AC2,['Chromosome 3']
11842,OR5AK2,['Chromosome 11']
11843,OR5AL1,['Unplaced']
11844,OR5AN1,['Chromosome 11']
11845,OR5AP2,['Chromosome 11']
11846,OR5AR1,['Chromosome 11']
11847,OR5AS1,['Chromosome 11']
11848,OR5AU1,['Chromosome 14']
11849,OR5B12,['Chromosome 11']
11850,OR5B17,['Chromosome 11']
11851,OR5B2,['Chromosome 11']
11852,OR5B21,['Chromosome 11']
11853,OR5B3,['Chromosome 11']
11854,OR5C1,['Chromosome 9']
11855,OR5D13,['Chromosome 11']
11856,OR5D14,['Chromosome 11']
11857,OR5D16,['Chromosome 11']
11858,OR5D18,['Chromosome 11']
11859,OR5F1,['Chromosome 11']
11860,OR5H1,['Chromosome 3']
11861,OR5H14,['Chromosome 3']
11862,OR5H15,['Chromosome 3']
11863,OR5H2,['Chromosome 3']
11864,OR5H6,['Chromosome 3']
11865,OR5I1,['Chromosome 11']
11866,OR5J2,['Chromosome 11']
11867,OR5K1,['Chromosome 3']
11868,OR5K2,['Chromosome 3']
11869,OR5K3,['Chromosome 3']
11870,OR5K4,['Chromosome 3']
11871,OR5L1,['Chromosome 11']
11872,OR5L2,['Chromosome 11']
11873,OR5M1,['Chromosome 11']
11874,OR5M10,['Chromosome 11']
11875,OR5M11,['Chromosome 11']
11876,OR5M3,['Chromosome 11']
11877,OR5M8,['Chromosome 11']
11878,OR5M9,['Chromosome 11']
11879,OR5P2,['Chromosome 11']
11880,OR5P3,['Chromosome 11']
11881,OR5R1,['Chromosome 11']
11882,OR5T1,['Chromosome 11']
11883,OR5T2,['Chromosome 11']
11884,OR5T3,['Chromosome 11']
11885,OR5V1,['Chromosome 6']
11886,OR5W2,['Chromosome 11']
11887,OR6A2,['Chromosome 11']
11888,OR6B1,['Chromosome 7']
11889,OR6B2,['Chromosome 2']
11890,OR6B3,['Chromosome 2']
11891,OR6C1,['Chromosome 12']
11892,OR6C2,['Chromosome 12']
11893,OR6C3,['Chromosome 12']
11894,OR6C4,['Chromosome 12']
11895,OR6C6,['Chromosome 12']
11896,OR6C65,['Chromosome 12']
11897,OR6C68,['Chromosome 12']
11898,OR6C70,['Chromosome 12']
11899,OR6C74,['Chromosome 12']
11900,OR6C75,['Chromosome 12']
11901,OR6C76,['Chromosome 12']
11902,OR6F1,['Chromosome 1']
11903,OR6J1,['Chromosome 14']
11904,OR6K2,['Chromosome 1']
11905,OR6K3,['Chromosome 1']
11906,OR6K6,['Chromosome 1']
11907,OR6M1,['Chromosome 11']
11908,OR6N1,['Chromosome 1']
11909,OR6N2,['Chromosome 1']
11910,OR6P1,['Chromosome 1']
11911,OR6Q1,['Chromosome 11']
11912,OR6S1,['Chromosome 14']
11913,OR6T1,['Chromosome 11']
11914,OR6V1,['Chromosome 7']
11915,OR6X1,['Chromosome 11']
11916,OR6Y1,['Chromosome 1']
11917,OR7A10,['Chromosome 19']
11918,OR7A17,['Chromosome 19']
11919,OR7A5,['Chromosome 19']
11920,OR7C1,['Unplaced']
11921,OR7C2,['Unplaced']
11922,OR7D2,['Unplaced']
11923,OR7D4,['Chromosome 19']
11924,OR7E24,['Unplaced']
11925,OR7G1,['Chromosome 19']
11926,OR7G2,['Chromosome 19']
11927,OR7G3,['Chromosome 19']
11928,OR8A1,['Chromosome 11']
11929,OR8B12,['Chromosome 11']
11930,OR8B2,['Chromosome 11']
11931,OR8B3,['Chromosome 11']
11932,OR8B4,['Chromosome 11']
11933,OR8B8,['Chromosome 11']
11934,OR8D1,['Chromosome 11']
11935,OR8D2,['Chromosome 11']
11936,OR8D4,['Chromosome 11']
11937,OR8G1,['Chromosome 11']
11938,OR8G2P,['Unplaced']
11939,OR8G5,['Chromosome 11']
11940,OR8H1,['Chromosome 11']
11941,OR8H2,['Chromosome 11']
11942,OR8H3,['Chromosome 11']
11943,OR8I2,['Chromosome 11']
11944,OR8J1,['Chromosome 11']
11945,OR8J3,['Chromosome 11']
11946,OR8K1,['Chromosome 11']
11947,OR8K3,['Chromosome 11']
11948,OR8K5,['Chromosome 11']
11949,OR8S1,['Unplaced']
11950,OR8U1,['Chromosome 11']
11951,OR8U8,['Unplaced']
11952,OR8U9,['Unplaced']
11953,OR9A2,['Chromosome 7']
11954,OR9A4,['Chromosome 7']
11955,OR9G1,['Chromosome 11']
11956,OR9G4,['Chromosome 11']
11957,OR9G9,['Unplaced']
11958,OR9I1,['Chromosome 11']
11959,OR9K2,['Chromosome 12']
11960,OR9Q1,['Chromosome 11']
11961,OR9Q2,['Chromosome 11']
11962,ORAI1,['Chromosome 12']
11963,ORAI2,['Chromosome 7']
11964,ORAI3,['Chromosome 16']
11965,ORC1,['Chromosome 1']
11966,ORC2,['Chromosome 2']
11967,ORC3,['Chromosome 6']
11968,ORC4,['Chromosome 2']
11969,ORC5,['Chromosome 7']
11970,ORC6,['Chromosome 16']
11971,ORM1,['Chromosome 9']
11972,ORM2,['Chromosome 9']
11973,ORMDL1,['Chromosome 2']
11974,ORMDL2,['Chromosome 12']
11975,ORMDL3,['Chromosome 17']
11976,OS9,['Chromosome 12']
11977,OSBP,['Chromosome 11']
11978,OSBP2,['Chromosome 22']
11979,OSBPL10,['Chromosome 3']
11980,OSBPL11,['Chromosome 3']
11981,OSBPL1A,['Chromosome 18']
11982,OSBPL2,['Chromosome 20']
11983,OSBPL3,['Chromosome 7']
11984,OSBPL5,['Chromosome 11']
11985,OSBPL6,['Chromosome 2']
11986,OSBPL7,['Unplaced']
11987,OSBPL8,['Chromosome 12']
11988,OSBPL9,['Chromosome 1']
11989,OSCAR,['Chromosome 19']
11990,OSCP1,['Chromosome 1']
11991,OSER1,['Chromosome 20']
11992,OSGEP,['Chromosome 14']
11993,OSGEPL1,['Chromosome 2']
11994,OSGIN1,['Chromosome 16']
11995,OSGIN2,['Chromosome 8']
11996,OSM,['Chromosome 22']
11997,OSMR,['Chromosome 5']
11998,OSR1,['Chromosome 3']
11999,OSR2,['Chromosome 8']
12000,OST4,['Chromosome 16']
12001,OSTC,['Chromosome 4']
12002,OSTF1,['Chromosome 9']
12003,OSTM1,['Chromosome 6']
12004,OSTN,['Chromosome 3']
12005,OTC,['Chromosome X']
12006,OTOA,['Chromosome 16']
12007,OTOF,['Chromosome 2']
12008,OTOG,['Chromosome 11']
12009,OTOGL,['Chromosome 12']
12010,OTOL1,['Chromosome 3']
12011,OTOP1,['Chromosome 4']
12012,OTOP2,['Chromosome 17']
12013,OTOP3,['Chromosome 17']
12014,OTOR,['Chromosome 20']
12015,OTOS,['Chromosome 2']
12016,OTP,['Chromosome 5']
12017,OTUB1,['Chromosome 11']
12018,OTUB2,['Chromosome 14']
12019,OTUD1,['Chromosome 10']
12020,OTUD3,['Chromosome 1']
12021,OTUD4,['Chromosome 4']
12022,OTUD5,['Chromosome X']
12023,OTUD6A,['Chromosome X']
12024,OTUD6B,['Chromosome 8']
12025,OTUD7A,['Chromosome 15']
12026,OTUD7B,['Chromosome 1']
12027,OTULIN,['Chromosome 5']
12028,OTULINL,['Chromosome 5']
12029,OTX1,['Chromosome 2']
12030,OTX2,['Chromosome 14']
12031,OVCA2,['Chromosome 17']
12032,OVCH1,['Chromosome 12']
12033,OVCH2,['Unplaced']
12034,OVGP1,['Chromosome 1']
12035,OVOL1,['Chromosome 11']
12036,OVOL2,['Chromosome 20']
12037,OVOL3,['Chromosome 19']
12038,OVOS,['Unplaced']
12039,OVOS2,['Unplaced']
12040,OXA1L,['Chromosome 14']
12041,OXCT1,['Chromosome 5']
12042,OXCT2,['Chromosome 1']
12043,OXER1,['Chromosome 2']
12044,OXGR1,['Chromosome 13']
12045,OXLD1,['Chromosome 17']
12046,OXNAD1,['Chromosome 3']
12047,OXR1,['Chromosome 8']
12048,OXSM,['Chromosome 3']
12049,OXSR1,['Chromosome 3']
12050,OXT,['Chromosome 20']
12051,OXTR,['Chromosome 3']
12052,P2RX1,['Chromosome 17']
12053,P2RX2,['Chromosome 12']
12054,P2RX3,['Chromosome 11']
12055,P2RX4,['Chromosome 12']
12056,P2RX5,['Chromosome 17']
12057,P2RX6,['Chromosome 22']
12058,P2RX6P,['Chromosome 22']
12059,P2RX7,['Chromosome 12']
12060,P2RY1,['Chromosome 3']
12061,P2RY10,['Chromosome X']
12062,P2RY11,['Chromosome 19']
12063,P2RY12,['Chromosome 3']
12064,P2RY13,['Chromosome 3']
12065,P2RY14,['Chromosome 3']
12066,P2RY2,['Chromosome 11']
12067,P2RY4,['Chromosome X']
12068,P2RY6,['Chromosome 11']
12069,P2RY8,['Chromosome X']
12070,P3H1,['Chromosome 1']
12071,P3H2,['Chromosome 3']
12072,P3H3,['Chromosome 12']
12073,P3H4,['Chromosome 17']
12074,P4HA1,['Chromosome 10']
12075,P4HA2,['Chromosome 5']
12076,P4HA3,['Chromosome 11']
12077,P4HB,['Chromosome 17']
12078,P4HTM,['Chromosome 3']
12079,PA2G4,['Chromosome 12']
12080,PAAF1,['Chromosome 11']
12081,PABPC1,['Chromosome 8']
12082,PABPC1L,['Chromosome 20']
12083,PABPC1L2A,['Chromosome X']
12084,PABPC1L2B,['Chromosome X']
12085,PABPC3,['Chromosome 13']
12086,PABPC4,['Chromosome 1']
12087,PABPC4L,['Chromosome 4']
12088,PABPC5,['Chromosome X']
12089,PABPN1,['Chromosome 14']
12090,PABPN1L,['Chromosome 16']
12091,PACRG,['Chromosome 6']
12092,PACRGL,['Chromosome 19']
12093,PACS1,['Chromosome 11']
12094,PACS2,['Chromosome 14']
12095,PACSIN1,['Chromosome 6']
12096,PACSIN2,['Chromosome 22']
12097,PACSIN3,['Chromosome 11']
12098,PADI1,['Chromosome 1']
12099,PADI2,['Chromosome 1']
12100,PADI3,['Chromosome 1']
12101,PADI4,['Chromosome 1']
12102,PADI6,['Chromosome 1']
12103,PAEP,['Chromosome 9']
12104,PAF1,['Chromosome 8']
12105,PAFAH1B1,['Chromosome 17']
12106,PAFAH1B2,['Chromosome 11']
12107,PAFAH1B3,['Chromosome 19']
12108,PAFAH2,['Chromosome 1']
12109,PAG1,['Chromosome 8']
12110,PAGE1,['Chromosome X']
12111,PAGE2,['Chromosome X']
12112,PAGE2B,['Chromosome X']
12113,PAGE3,['Chromosome X']
12114,PAGE4,['Chromosome X']
12115,PAGE5,['Chromosome X']
12116,PAGR1,['Chromosome 16']
12117,PAH,['Chromosome 12']
12118,PAICS,['Chromosome 4']
12119,PAIP1,['Chromosome 5']
12120,PAIP2,['Chromosome 5']
12121,PAIP2B,['Chromosome 2']
12122,PAK1,['Chromosome 11']
12123,PAK1IP1,['Chromosome 6']
12124,PAK2,['Chromosome 3']
12125,PAK3,['Chromosome X']
12126,PAK4,['Chromosome 19']
12127,PAK5,['Chromosome 20']
12128,PAK6,['Chromosome 15']
12129,PALB2,['Chromosome 16']
12130,PALD1,['Chromosome 10']
12131,PALLD,['Chromosome 4']
12132,PALM,['Chromosome 19']
12133,PALM2,['Chromosome 9']
12134,PALM2-AKAP2,['Chromosome 9']
12135,PALM3,['Chromosome 19']
12136,PALMD,['Chromosome 1']
12137,PAM,['Chromosome 16']
12138,PAM16,['Chromosome 16']
12139,PAMR1,['Chromosome 11']
12140,PAN2,['Chromosome 12']
12141,PAN3,['Chromosome 13']
12142,PANK1,['Chromosome 10']
12143,PANK2,['Chromosome 20']
12144,PANK3,['Chromosome 5']
12145,PANK4,['Chromosome 1']
12146,PANO1,['Chromosome 11']
12147,PANX1,['Chromosome 11']
12148,PANX2,['Chromosome 22']
12149,PANX3,['Chromosome 11']
12150,PAOX,['Chromosome 10']
12151,PAPLN,['Chromosome 14']
12152,PAPOLA,['Chromosome 14']
12153,PAPOLB,['Chromosome 7']
12154,PAPOLG,['Chromosome 2']
12155,PAPPA,['Chromosome 9']
12156,PAPPA-AS1,['Unplaced']
12157,PAPPA2,['Chromosome 1']
12158,PAPSS1,['Chromosome 4']
12159,PAPSS2,['Chromosome 10']
12160,PAQR3,['Chromosome 4']
12161,PAQR4,['Chromosome 16']
12162,PAQR5,['Chromosome 15']
12163,PAQR6,['Chromosome 1']
12164,PAQR7,['Chromosome 1']
12165,PAQR8,['Chromosome 6']
12166,PAQR9,['Chromosome 3']
12167,PARD3,['Chromosome 10']
12168,PARD3B,['Chromosome 2']
12169,PARD6A,['Chromosome 16']
12170,PARD6B,['Chromosome 20']
12171,PARD6G,['Chromosome 18']
12172,PARG,['Chromosome 10']
12173,PARK7,['Chromosome 1']
12174,PARL,['Chromosome 3']
12175,PARM1,['Chromosome 4']
12176,PARN,['Chromosome 16']
12177,PARP1,['Chromosome 1']
12178,PARP10,['Chromosome 8']
12179,PARP11,['Chromosome 12']
12180,PARP12,['Chromosome 7']
12181,PARP14,['Chromosome 3']
12182,PARP15,['Chromosome 3']
12183,PARP16,['Chromosome 15']
12184,PARP2,['Chromosome 14']
12185,PARP3,['Chromosome 3']
12186,PARP4,['Chromosome 13']
12187,PARP6,['Chromosome 15']
12188,PARP8,['Chromosome 5']
12189,PARP9,['Chromosome 3']
12190,PARPBP,['Chromosome 12']
12191,PARS2,['Chromosome 1']
12192,PART1,['Chromosome 5']
12193,PARTICL,['Chromosome 14']
12194,PARVA,['Chromosome 11']
12195,PARVB,['Chromosome 22']
12196,PARVG,['Chromosome 22']
12197,PASD1,['Chromosome X']
12198,PASK,['Chromosome 2']
12199,PATE1,['Chromosome 11']
12200,PATE2,['Chromosome 11']
12201,PATE3,['Chromosome 11']
12202,PATE4,['Chromosome 11']
12203,PATJ,['Chromosome 1']
12204,PATL1,['Chromosome 11']
12205,PATL2,['Chromosome 15']
12206,PATZ1,['Chromosome 22']
12207,PAWR,['Chromosome 12']
12208,PAX1,['Chromosome 20']
12209,PAX2,['Chromosome 10']
12210,PAX3,['Chromosome 2']
12211,PAX4,['Chromosome 7']
12212,PAX5,['Chromosome 9']
12213,PAX6,['Chromosome 11']
12214,PAX7,['Chromosome 1']
12215,PAX8,['Chromosome 2']
12216,PAX9,['Chromosome 14']
12217,PAXBP1,['Chromosome 21']
12218,PAXIP1,['Chromosome 7']
12219,PAXX,['Chromosome 9']
12220,PBDC1,['Chromosome X']
12221,PBK,['Chromosome 8']
12222,PBLD,['Chromosome 10']
12223,PBOV1,['Chromosome 6']
12224,PBRM1,['Chromosome 3']
12225,PBX1,['Chromosome 1']
12226,PBX2,['Chromosome 6']
12227,PBX3,['Chromosome 9']
12228,PBX4,['Chromosome 19']
12229,PBXIP1,['Chromosome 1']
12230,PC,['Chromosome 9']
12231,PCA3,['Chromosome 9']
12232,PCARE,['Chromosome 2']
12233,PCAT1,['Chromosome 5']
12234,PCAT2,['Chromosome 16']
12235,PCBD1,['Chromosome 10']
12236,PCBD2,['Chromosome 5']
12237,PCBP1,['Chromosome 2']
12238,PCBP2,['Chromosome 12']
12239,PCBP3,['Chromosome 21']
12240,PCBP4,['Chromosome 3']
12241,PCCA,['Chromosome 13']
12242,PCCB,['Chromosome 3']
12243,PCDH1,['Chromosome 5']
12244,PCDH10,['Chromosome 4']
12245,PCDH11X,['Chromosome X']
12246,PCDH11Y,['Chromosome Y']
12247,PCDH12,['Chromosome 5']
12248,PCDH15,['Chromosome 10']
12249,PCDH17,['Chromosome 13']
12250,PCDH18,['Chromosome 4']
12251,PCDH19,['Chromosome X']
12252,PCDH20,['Chromosome 13']
12253,PCDH7,['Chromosome 4']
12254,PCDH8,['Chromosome 13']
12255,PCDH9,['Chromosome 13']
12256,PCDHA1,['Chromosome 5']
12257,PCDHA10,['Chromosome 5']
12258,PCDHA11,['Chromosome 5']
12259,PCDHA12,['Chromosome 5']
12260,PCDHA13,['Chromosome 5']
12261,PCDHA2,['Chromosome 5']
12262,PCDHA3,['Chromosome 5']
12263,PCDHA4,['Chromosome 5']
12264,PCDHA5,['Chromosome 5']
12265,PCDHA6,['Chromosome 5']
12266,PCDHA7,['Chromosome 5']
12267,PCDHA8,['Chromosome 5']
12268,PCDHA9,['Chromosome 5']
12269,PCDHAC1,['Chromosome 5']
12270,PCDHAC2,['Chromosome 5']
12271,PCDHB1,['Chromosome 5']
12272,PCDHB10,['Chromosome 5']
12273,PCDHB11,['Chromosome 5']
12274,PCDHB12,['Chromosome 5']
12275,PCDHB13,['Chromosome 5']
12276,PCDHB14,['Chromosome 5']
12277,PCDHB15,['Chromosome 5']
12278,PCDHB16,['Chromosome 5']
12279,PCDHB18P,['Unplaced']
12280,PCDHB2,['Chromosome 5']
12281,PCDHB3,['Chromosome 5']
12282,PCDHB4,['Chromosome 5']
12283,PCDHB5,['Chromosome 5']
12284,PCDHB6,['Chromosome 5']
12285,PCDHB7,['Chromosome 5']
12286,PCDHB8,['Chromosome 5']
12287,PCDHB9,['Chromosome 5']
12288,PCDHGA1,['Chromosome 5']
12289,PCDHGA10,['Chromosome 5']
12290,PCDHGA11,['Chromosome 5']
12291,PCDHGA12,['Chromosome 5']
12292,PCDHGA2,['Chromosome 5']
12293,PCDHGA3,['Chromosome 5']
12294,PCDHGA4,['Chromosome 5']
12295,PCDHGA5,['Chromosome 5']
12296,PCDHGA6,['Chromosome 5']
12297,PCDHGA7,['Chromosome 5']
12298,PCDHGA8,['Chromosome 5']
12299,PCDHGA9,['Chromosome 5']
12300,PCDHGB1,['Chromosome 5']
12301,PCDHGB2,['Chromosome 5']
12302,PCDHGB3,['Chromosome 5']
12303,PCDHGB4,['Chromosome 5']
12304,PCDHGB5,['Chromosome 5']
12305,PCDHGB6,['Chromosome 5']
12306,PCDHGB7,['Chromosome 5']
12307,PCDHGC3,['Chromosome 5']
12308,PCDHGC4,['Chromosome 5']
12309,PCDHGC5,['Chromosome 5']
12310,PCED1A,['Chromosome 20']
12311,PCED1B,['Chromosome 1']
12312,PCF11,['Chromosome 11']
12313,PCGF1,['Chromosome 2']
12314,PCGF2,['Chromosome 17']
12315,PCGF3,['Chromosome 4']
12316,PCGF5,['Chromosome 10']
12317,PCGF6,['Chromosome 10']
12318,PCID2,['Chromosome 13']
12319,PCIF1,['Chromosome 20']
12320,PCK1,['Chromosome 20']
12321,PCK2,['Chromosome 14']
12322,PCLAF,['Chromosome 15']
12323,PCLO,['Chromosome 7']
12324,PCM1,['Chromosome 8']
12325,PCMT1,['Chromosome 6']
12326,PCMTD1,['Chromosome 8']
12327,PCMTD2,['Chromosome 20']
12328,PCNA,['Chromosome 15']
12329,PCNP,['Chromosome 3']
12330,PCNT,['Chromosome 21']
12331,PCNX1,['Chromosome 14']
12332,PCNX2,['Chromosome 1']
12333,PCNX3,['Chromosome 11']
12334,PCNX4,['Chromosome 14']
12335,PCOLCE,['Chromosome 7']
12336,PCOLCE2,['Chromosome 3']
12337,PCOTH,['Chromosome 14']
12338,PCP2,['Chromosome 1']
12339,PCP4,['Chromosome 21']
12340,PCP4L1,['Chromosome 1']
12341,PCSK1,['Chromosome 5']
12342,PCSK1N,['Chromosome X']
12343,PCSK2,['Chromosome 20']
12344,PCSK4,['Chromosome 19']
12345,PCSK5,['Chromosome 9']
12346,PCSK6,['Chromosome 15']
12347,PCSK7,['Chromosome 11']
12348,PCSK9,['Chromosome 1']
12349,PCTP,['Chromosome 17']
12350,PCYOX1,['Chromosome 2']
12351,PCYOX1L,['Chromosome 5']
12352,PCYT1A,['Chromosome 3']
12353,PCYT1B,['Chromosome X']
12354,PCYT2,['Chromosome 17']
12355,PDAP1,['Chromosome 7']
12356,PDC,['Chromosome 1']
12357,PDCD1,['Chromosome 9']
12358,PDCD10,['Chromosome 3']
12359,PDCD11,['Chromosome 10']
12360,PDCD1LG2,['Chromosome 9']
12361,PDCD2,['Chromosome 6']
12362,PDCD2L,['Chromosome 19']
12363,PDCD4,['Chromosome 10']
12364,PDCD5,['Chromosome 19']
12365,PDCD6,['Chromosome 5']
12366,PDCD6IP,['Chromosome 3']
12367,PDCD7,['Chromosome 15']
12368,PDCL,['Chromosome 2']
12369,PDCL2,['Chromosome 4']
12370,PDCL3,['Chromosome 2']
12371,PDE10A,['Chromosome 6']
12372,PDE11A,['Chromosome 2']
12373,PDE12,['Chromosome 3']
12374,PDE1A,['Chromosome 2']
12375,PDE1B,['Chromosome 12']
12376,PDE1C,['Chromosome 7']
12377,PDE2A,['Chromosome 11']
12378,PDE3A,['Chromosome 12']
12379,PDE3B,['Chromosome 11']
12380,PDE4A,['Chromosome 19']
12381,PDE4B,['Chromosome 1']
12382,PDE4C,['Unplaced']
12383,PDE4D,['Chromosome 5']
12384,PDE4DIP,['Chromosome 1']
12385,PDE5A,['Chromosome 4']
12386,PDE6A,['Chromosome 5']
12387,PDE6B,['Chromosome 4']
12388,PDE6C,['Chromosome 10']
12389,PDE6D,['Chromosome 2']
12390,PDE6G,['Unplaced']
12391,PDE6H,['Unplaced']
12392,PDE7A,['Chromosome 8']
12393,PDE7B,['Chromosome 6']
12394,PDE8A,['Chromosome 15']
12395,PDE8B,['Chromosome 5']
12396,PDE9A,['Chromosome 21']
12397,PDF,['Chromosome 16']
12398,PDGFA,['Chromosome 7']
12399,PDGFB,['Chromosome 22']
12400,PDGFC,['Chromosome 4']
12401,PDGFD,['Chromosome 11']
12402,PDGFRA,['Chromosome 4']
12403,PDGFRB,['Chromosome 5']
12404,PDGFRL,['Chromosome 8']
12405,PDHA1,['Chromosome X']
12406,PDHA2,['Chromosome 4']
12407,PDHB,['Chromosome 3']
12408,PDHX,['Chromosome 11']
12409,PDIA2,['Chromosome 16']
12410,PDIA3,['Chromosome 15']
12411,PDIA4,['Chromosome 7']
12412,PDIA5,['Chromosome 3']
12413,PDIA6,['Chromosome 2']
12414,PDIK1L,['Chromosome 1']
12415,PDILT,['Chromosome 16']
12416,PDK1,['Chromosome 16']
12417,PDK2,['Chromosome 17']
12418,PDK3,['Chromosome X']
12419,PDK4,['Chromosome 7']
12420,PDLIM1,['Chromosome 10']
12421,PDLIM2,['Chromosome 8']
12422,PDLIM3,['Chromosome 4']
12423,PDLIM4,['Chromosome 5']
12424,PDLIM5,['Chromosome 4']
12425,PDLIM7,['Chromosome 5']
12426,PDP1,['Chromosome 8']
12427,PDP2,['Chromosome 16']
12428,PDPK1,['Chromosome 16']
12429,PDPN,['Chromosome 1']
12430,PDPR,['Chromosome 16']
12431,PDRG1,['Chromosome 20']
12432,PDS5A,['Chromosome 4']
12433,PDS5B,['Chromosome 13']
12434,PDSS1,['Chromosome 10']
12435,PDSS2,['Chromosome 6']
12436,PDX1,['Chromosome 13']
12437,PDXDC1,['Chromosome 16']
12438,PDXDC2P-NPIPB14P,['Unplaced']
12439,PDXK,['Chromosome 21']
12440,PDXP,['Chromosome 22']
12441,PDYN,['Chromosome 20']
12442,PDZD11,['Chromosome X']
12443,PDZD2,['Chromosome 5']
12444,PDZD3,['Chromosome 11']
12445,PDZD4,['Chromosome X']
12446,PDZD7,['Chromosome 10']
12447,PDZD8,['Chromosome 10']
12448,PDZD9,['Chromosome 16']
12449,PDZK1,['Chromosome 1']
12450,PDZK1IP1,['Chromosome 1']
12451,PDZK1P1,['Unplaced']
12452,PDZRN3,['Chromosome 3']
12453,PDZRN4,['Chromosome 12']
12454,PEA15,['Chromosome 1']
12455,PEAK1,['Chromosome 15']
12456,PEAK3,['Chromosome 19']
12457,PEAR1,['Chromosome 1']
12458,PEBP1,['Chromosome 12']
12459,PEBP4,['Chromosome 8']
12460,PECAM1,['Chromosome 17']
12461,PECR,['Chromosome 2']
